"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: size"
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,241013",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"720192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"14,499973",NaN,"s/op",RW_SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"72000192,000000",NaN,"#",RW_SYNCHRONIZED_TREE_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,002586",NaN,"s/op",CONCURRENT_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"64,000000",NaN,"#",CONCURRENT_HASH_MAP,0
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,027524",NaN,"s/op",CONCURRENT_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"10576,000000",NaN,"#",CONCURRENT_HASH_MAP,100
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"1,190091",NaN,"s/op",CONCURRENT_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"902224,000000",NaN,"#",CONCURRENT_HASH_MAP,10000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves","ss",1,1,"9,291838",NaN,"s/op",CONCURRENT_HASH_MAP,1000000
"ua.edu.ukma.benchmarks.MemoryFootprintBenchmark.putsThenRemoves:totalSize","ss",1,1,"97554512,000000",NaN,"#",CONCURRENT_HASH_MAP,1000000
