"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: mapType","Param: seed"
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16777216","ss",4,15,"2654,370125","238,254797","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16777216","ss",4,15,"25589,733405","506,513548","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16777216","ss",4,15,"1161,388080","43,387998","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16777216","ss",4,15,"4994,560170","1095,287061","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16777216","ss",4,15,"17237,652145","148,722202","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_4_16777216","ss",4,15,"10511,189715","84,837327","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_1048576","ss",8,15,"107,697248","9,760899","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_1048576","ss",8,15,"304,015766","31,449481","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_1048576","ss",8,15,"94,661358","2,645989","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_1048576","ss",8,15,"596,685533","33,622696","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_1048576","ss",8,15,"56,928232","5,212591","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_1048576","ss",8,15,"392,804316","74,472547","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_1048576","ss",8,15,"331,438418","11,342538","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_1048576","ss",8,15,"264,311278","10,866992","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16384","ss",8,15,"3,074678","0,731580","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16384","ss",8,15,"7,806495","0,989543","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16384","ss",8,15,"3,868083","0,615616","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16384","ss",8,15,"8,253298","1,610584","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16384","ss",8,15,"3,341008","0,685759","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16384","ss",8,15,"21,045950","2,836977","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16384","ss",8,15,"12,715754","0,859271","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16384","ss",8,15,"19,354128","1,708167","ms/op",LOCK_FREE_CHROMATIC_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16777216","ss",8,15,"2424,776340","146,986796","ms/op",SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16777216","ss",8,15,"16836,382120","541,839863","ms/op",SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16777216","ss",8,15,"2456,617336","213,078516","ms/op",RW_SYNCHRONIZED_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16777216","ss",8,15,"24165,728439","407,448239","ms/op",RW_SYNCHRONIZED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16777216","ss",8,15,"790,949017","20,180656","ms/op",CONCURRENT_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16777216","ss",8,15,"8535,958085","1072,011837","ms/op",NON_BLOCKING_HASH_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16777216","ss",8,15,"11443,909076","93,339858","ms/op",SHARDED_TREE_MAP,42
"ua.edu.ukma.benchmarks.IntegerKeysFillBenchmark.fill_8_16777216","ss",8,15,"6867,413500","51,916162","ms/op",LOCK_FREE_CHROMATIC_MAP,42
